 X Y Z
pca1 0.9076029351840075 -0.4198296226391657 -1.726510709292297e-07
pca2 -0.4198296179014608 -0.9076029248799298 -0.00015060580892899985
pca3 -6.307208131296928e-05 -0.00013676275827286056 0.9999999886589301
