 X Y Z
pca1 0.4003354227901325 -0.9163686753898109 4.875401122601178e-06
pca2 -0.9162481314767692 -0.4002828468637018 -0.016217400285490142
pca3 -0.014863069157321895 -0.006487932722679729 0.9998684893045737
